,Rate
5630,6.0
1986,7.2
1369,6.7
2811,6.4
659,7.8
1794,4.7
2511,7.4
3397,7.3
4282,6.1
1147,7.5
3272,6.5
608,6.4
3582,8.0
1930,8.0
197,7.7
2931,6.9
2327,No Rate
4389,7.4
766,6.1
4496,5.9
4218,5.6
3255,7.2
202,8.6
3510,5.4
4931,6.6
5535,7.1
1733,7.3
5791,7.0
2777,7.7
1707,6.7
5172,6.6
5249,6.2
5757,4.5
3474,6.9
5855,6.9
854,5.1
5685,6.5
4737,8.5
4097,7.6
2160,5.6
698,7.1
6114,4.8
2999,8.0
3696,5.3
1636,5.5
3457,5.6
3581,7.2
1291,7.9
4659,6.3
5616,7.3
1853,8.2
5232,No Rate
3763,6.8
3304,8.2
6074,8.5
5727,6.0
3743,7.6
3445,No Rate
1998,7.1
663,7.0
4779,6.4
5353,5.6
3748,7.6
4413,6.6
4744,4.0
5530,7.4
5575,7.7
709,7.2
1282,8.5
5864,6.6
5068,5.8
2675,8.0
4029,7.7
1306,7.3
5496,7.0
5504,5.9
2237,7.7
3302,5.0
5592,6.0
2038,7.0
1529,7.4
1663,7.0
5450,6.8
6099,2.7
6121,6.5
3627,8.0
5739,6.4
5147,7.9
4891,4.5
2693,3.7
3060,8.0
1597,5.8
2729,7.7
2625,6.5
5915,6.9
3157,7.0
3314,6.1
1722,7.7
5279,7.3
1059,5.7
4636,8.3
3242,6.7
1678,7.7
1757,6.9
6019,8.6
4191,5.4
5116,8.1
563,6.9
2790,8.0
863,7.8
1484,6.4
5977,7.2
5134,5.7
206,8.4
4488,6.2
870,6.9
4493,7.7
502,8.4
1028,7.4
3840,6.8
2690,5.7
5581,6.6
5056,8.8
1570,6.5
2773,7.9
5991,6.5
2731,6.9
804,8.1
5847,6.9
3645,6.0
2454,6.6
4598,5.7
3104,7.4
4875,5.0
5959,3.9
200,8.4
3099,7.4
2278,6.2
3561,7.5
5892,7.1
4474,5.4
4514,8.1
5794,6.8
391,6.4
5618,6.9
5258,7.1
1495,6.1
2695,7.4
2027,7.6
5248,8.0
5463,6.8
2568,7.5
64,7.5
3884,7.6
2062,7.8
5276,6.8
492,6.1
379,8.2
4859,6.0
3993,6.3
4887,8.0
1076,6.6
878,7.3
337,7.4
1016,7.7
1275,7.1
3798,6.6
4551,6.7
3342,8.3
4911,6.6
995,5.2
1981,6.7
4297,7.6
161,8.1
5675,7.1
4798,No Rate
1500,7.3
3843,4.7
5225,7.2
2613,7.3
3461,6.8
1021,6.8
3073,6.2
3943,6.6
1585,7.0
1955,7.2
3152,7.0
34,No Rate
4014,No Rate
775,5.1
2556,No Rate
1478,7.5
5486,No Rate
1363,7.4
2612,7.5
2824,6.9
2041,5.6
241,6.9
2061,7.1
2363,7.7
600,6.6
2435,No Rate
5393,6.5
2888,5.7
646,8.3
3890,7.3
3556,6.8
3202,7.3
1528,No Rate
1267,No Rate
1899,6.5
4658,7.9
3005,7.9
2734,4.3
189,6.6
1806,6.8
975,8.5
2747,7.1
2047,6.8
2558,7.7
1082,8.5
474,5.4
2904,7.2
4843,7.1
4117,8.0
3385,7.5
4555,6.5
1184,8.2
5051,5.7
5311,5.7
2433,7.6
5611,6.1
2391,8.0
769,8.3
1685,7.6
130,8.6
2919,5.8
3171,6.6
3444,7.4
5578,4.6
4426,6.4
5334,7.2
466,8.4
5734,6.3
3092,5.5
3772,4.7
5191,6.4
5226,4.9
5390,6.8
860,6.4
