,Name,Date,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
3986,In the Tall Grass,2019,"51,569","Horror, Mystery, Sci-Fi",101 ,Film,TV-MA,-,Mild,Severe,Moderate,None,Moderate
916,The VelociPastor,2018,"4,727","Action, Adventure, Comedy",75 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
5151,The Little Girl Who Lives Down the Lane,1976,"14,452","Drama, Horror, Mystery",91 ,Film,PG,-,Moderate,Moderate,Mild,Mild,Moderate
4089,The Awakening,2011,"65,122","Horror, Thriller",102 ,Film,R,-,Mild,Moderate,Mild,Mild,Moderate
5704,The Ward,2010,"41,603","Horror, Mystery, Thriller",89 ,Film,R,-,None,Moderate,Mild,Mild,Moderate
5168,Whip It,2009,"65,845","Drama, Sport",111 ,Film,PG-13,-,Mild,Mild,Moderate,Moderate,Mild
2772,Beetlejuice 2,1982,No Votes,"Comedy, Fantasy, Horror",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
1624,30 Days of Night,2007,"170,844","Action, Horror, Thriller",113 ,Film,R,-,None,Severe,Moderate,Mild,Severe
5362,The Return of the Texas Chainsaw Massacre,1994,"21,413","Comedy, Horror, Thriller",87 ,Film,R,-,Mild,Mild,Severe,Mild,Moderate
821,Star Wars,1977,"1,280,508","Action, Adventure, Fantasy",121 ,Film,PG,-,None,Mild,None,Mild,Mild
1367,Zygote,2017,"4,465","Short, Horror, Sci-Fi",23 ,Film,Not Rated,-,None,Severe,Moderate,No Rate,No Rate
3712,False Positive,2021,"4,037","Horror, Mystery, Thriller",92 ,Film,R,-,Moderate,Moderate,Moderate,Mild,Severe
5549,The Nest,2020,"10,278","Drama, Romance",107 ,Film,R,-,Moderate,Mild,Moderate,Moderate,None
850,El hoyo,2019,"191,553","Horror, Sci-Fi, Thriller",94 ,Film,TV-MA,-,Moderate,Severe,Mild,Mild,Severe
1000,Drive,2011,"597,089","Crime, Drama",100 ,Film,R,-,Moderate,Severe,Moderate,Mild,Severe
4586,Mistresses,2008,"1,960",Drama,60 ,Series,None,16,No Rate,No Rate,No Rate,No Rate,No Rate
4114,Day of the Dead,1985,"66,401","Horror, Thriller",101 ,Film,Not Rated,-,None,Severe,Severe,Mild,Severe
1637,War of the Worlds,2005,"430,010","Action, Adventure, Sci-Fi",116 ,Film,PG-13,-,None,Moderate,Moderate,None,Moderate
1667,Family Law,2016,339,"Comedy, Crime, Drama",60 ,Series,None,20,No Rate,No Rate,No Rate,No Rate,No Rate
3173,Major League,1989,"65,689","Comedy, Sport",107 ,Film,R,-,Mild,Mild,Moderate,Mild,None
4693,The Secret Life of Pets 2,2019,"56,845","Animation, Adventure, Comedy",86 ,Film,PG,-,None,Mild,Mild,None,Mild
1347,Greenland,2020,"100,856","Action, Drama, Thriller",119 ,Film,PG-13,-,None,Moderate,Mild,None,Moderate
4817,Reign of Fire,2002,"131,394","Action, Adventure, Fantasy",101 ,Film,PG-13,-,None,Mild,Mild,Mild,Mild
3230,Awakenings,1990,"133,265","Biography, Drama",121 ,Film,PG-13,-,None,None,Mild,Mild,Mild
4331,True History of the Kelly Gang,2019,"9,824","Biography, Crime, Drama",124 ,Film,R,-,Moderate,Severe,Severe,Mild,Severe
4740,Rough Night,2017,"50,012","Comedy, Crime, Thriller",101 ,Film,R,-,Moderate,Mild,Moderate,Moderate,Mild
3232,The Adam Project,2022,No Votes,"Action, Adventure, Sci-Fi",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
5048,Nurse Jackie,2013,"25,825","Comedy, Drama",27 ,Series,TV-MA,80,Moderate,Moderate,Severe,Severe,Moderate
703,The Great Gatsby,2013,"505,143","Drama, Romance",143 ,Film,PG-13,-,Mild,Mild,Mild,Moderate,Mild
4920,Bad Hair,2020,"3,147","Comedy, Horror, Music",102 ,Film,Unrated,-,Moderate,Severe,Moderate,None,Severe
3291,Virgin Territory,2007,"7,810","Adventure, Comedy, History",97 ,Film,R,-,Moderate,Mild,Mild,No Rate,No Rate
3673,RuPaul's Drag Race,2021,"17,543","Game-Show, Reality-TV",63 ,Series,TV-14,179,Mild,None,Moderate,Mild,None
2408,Der Untergang,2004,"342,483","Biography, Drama, History",156 ,Film,R,-,Mild,Severe,Mild,Moderate,Severe
1327,The New Mutants,2020,"67,155","Action, Horror, Mystery",94 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
5750,Winter's Bone,2010,"139,513","Drama, Mystery",100 ,Film,R,-,None,Moderate,Moderate,Severe,Mild
5060,B Positive,2000,"1,906","Comedy, Drama",22 ,Series,TV-14,22,Mild,None,None,Moderate,None
5158,Finding Dory,2016,"255,557","Animation, Adventure, Comedy",97 ,Film,PG,-,None,None,None,None,Mild
986,Dark Shadows,2012,"255,634","Comedy, Fantasy, Horror",113 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
5602,It Had to Be You,2000,"1,884","Comedy, Romance",96 ,Film,PG,-,No Rate,No Rate,No Rate,No Rate,No Rate
5306,I Love Lucy,2019,"23,300","Comedy, Family",30 ,Series,TV-G,181,None,None,None,Mild,None
5113,The Crying Game,1992,"53,664","Crime, Drama, Romance",112 ,Film,R,-,Moderate,Moderate,Severe,Moderate,Severe
4049,The Beverly Hillbillies,1993,"18,032","Comedy, Family",92 ,Film,PG,-,Mild,Mild,Mild,Mild,Mild
3485,Roswell,1981,"28,279","Drama, Mystery, Sci-Fi",42 ,Series,TV-14,61,Mild,Mild,Mild,Mild,Moderate
2474,National Lampoon's Vacation,1983,"102,378","Adventure, Comedy",98 ,Film,R,-,Moderate,Mild,Moderate,Moderate,Mild
3873,Sinister 2,2015,"51,685","Horror, Mystery, Thriller",97 ,Film,R,-,None,Severe,Moderate,Mild,Severe
1198,Agatha Christie's Marple,2003,"7,249","Crime, Drama, Mystery",93 ,Series,TV-14,23,Mild,Mild,None,Mild,Moderate
4181,Cool Hand Luke,1967,"170,487","Crime, Drama",127 ,Film,GP,-,Mild,Mild,Mild,Mild,Moderate
1518,Identity,2003,"235,927","Mystery, Thriller",90 ,Film,R,-,None,Severe,Moderate,None,Moderate
1799,"Rise and Shine, Benedict Stone",2021,225,Drama,84 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
1014,The Newsroom,2007,"109,313",Drama,55 ,Series,TV-MA,25,None,None,Moderate,Mild,Mild
128,Lost,2021,"520,422","Adventure, Drama, Fantasy",44 ,Series,TV-14,119,Mild,Moderate,Mild,Moderate,Moderate
1364,Scream,2004,"37,042","Comedy, Crime, Drama",45 ,Series,TV-14,29,Moderate,Severe,Mild,Mild,Moderate
4745,Ghosts of Mars,2001,"53,030","Action, Horror, Sci-Fi",98 ,Film,R,-,None,Severe,Severe,Moderate,Moderate
891,Designated Survivor,2006,"83,143","Action, Drama, Mystery",60 ,Series,TV-14,53,Moderate,Mild,Moderate,Mild,Mild
2793,The Ugly Truth,2009,"211,124","Comedy, Romance",96 ,Film,R,-,Moderate,None,Moderate,Mild,None
5183,Ghost Rider: Spirit of Vengeance,2011,"115,071","Action, Fantasy, Thriller",96 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
5882,Playing with Fire,2019,"12,843","Comedy, Family",96 ,Film,PG,-,Mild,Mild,None,None,Mild
5291,The Fairly OddParents,2014,"36,564","Animation, Adventure, Comedy",30 ,Series,TV-Y7,159,Mild,Mild,Mild,None,Mild
3249,The Interview,2014,"317,400","Action, Adventure, Comedy",112 ,Film,R,-,Moderate,Severe,Severe,Moderate,Moderate
1208,The Devil's Advocate,1997,"348,744","Drama, Mystery, Thriller",144 ,Film,R,-,Severe,Severe,Severe,Moderate,Severe
3868,Tayna pechati drakona,2019,"5,579","Action, Adventure, Family",120 ,Film,PG-13,-,None,Mild,Mild,Mild,Mild
5543,WolfWalkers,2020,"25,963","Animation, Adventure, Family",103 ,Film,PG,-,None,Mild,None,None,Mild
4065,Alice Through the Looking Glass,2016,"100,442","Adventure, Family, Fantasy",113 ,Film,PG,-,None,Mild,None,None,Mild
5899,The Color Purple,1985,"82,552",Drama,154 ,Film,PG-13,-,Moderate,Moderate,Mild,Moderate,Moderate
1239,Werewolves Within,2021,"9,310","Comedy, Horror",97 ,Film,R,-,None,Moderate,Moderate,Mild,Moderate
2289,Drag Me to Hell,2009,"194,992",Horror,99 ,Film,PG-13,-,Mild,Severe,Mild,Mild,Severe
2740,#Saraitda,2020,"32,672","Action, Drama, Horror",98 ,Film,TV-MA,-,None,Moderate,Mild,Mild,Moderate
275,Star Trek: Lower Decks,2021,"12,261","Animation, Action, Adventure",25 ,Series,TV-MA,30,Mild,Moderate,Mild,Mild,Mild
1035,Alias,2022,"47,858","Action, Drama, Mystery",42 ,Series,TV-14,105,Mild,Moderate,Mild,Mild,Moderate
1229,Bombshell,2019,"103,589","Biography, Drama",109 ,Film,R,-,Mild,None,Moderate,None,Mild
1008,The End of the F***ing World,2012,"164,023","Adventure, Comedy, Crime",25 ,Series,TV-MA,16,Moderate,Severe,Severe,Moderate,Moderate
3828,CSI: Immortality,2015,"2,134","Crime, Drama, Mystery",87 ,Film,TV-14,-,No Rate,No Rate,No Rate,No Rate,No Rate
2532,The Rainmaker,1997,"69,736","Crime, Drama, Thriller",135 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
4293,The Saint,1997,"65,804","Action, Adventure, Romance",116 ,Film,PG-13,-,Mild,Mild,Mild,Moderate,Mild
1058,Almost Famous,2000,"265,586","Adventure, Comedy, Drama",122 ,Film,R,-,Moderate,Mild,Moderate,Moderate,Mild
4609,Finding Alice,2021,"1,709","Comedy, Drama",46 ,Series,Not Rated,7,No Rate,No Rate,No Rate,Mild,No Rate
281,Don't Breathe 2,2021,"29,241","Action, Drama, Horror",98 ,Film,R,-,None,Severe,Moderate,Mild,Severe
1043,Imposters,2020,"12,028","Comedy, Crime, Drama",41 ,Series,TV-14,20,Moderate,Moderate,Severe,No Rate,No Rate
1316,When Calls the Heart,1986,"11,716","Drama, Family, Romance",43 ,Series,TV-G,87,None,None,None,Mild,Mild
968,The Notebook,2004,"542,082","Drama, Romance",123 ,Film,PG-13,-,Moderate,Mild,Mild,Mild,Mild
2381,Santa Clarita Diet,1999,"61,510","Comedy, Horror",30 ,Series,TV-MA,30,Mild,Severe,Severe,Mild,Moderate
4990,Scooby-Doo! Mystery Incorporated,1987,"10,448","Animation, Adventure, Comedy",23 ,Series,TV-Y7-FV,52,Mild,Mild,None,Mild,Moderate
1939,Phantom Thread,2017,"120,618","Drama, Romance",130 ,Film,R,-,Mild,None,Moderate,Mild,Mild
4424,Starsky and Hutch,2022,"8,618","Action, Crime, Drama",60 ,Series,None,92,No Rate,No Rate,No Rate,No Rate,No Rate
1274,Darkest Hour,2017,"186,414","Biography, Drama, History",125 ,Film,PG-13,-,None,Mild,Mild,Moderate,Mild
619,We're the Millers,2013,"423,818","Comedy, Crime",110 ,Film,R,-,Moderate,Mild,Severe,Severe,None
4478,Boys Don't Cry,1999,"95,199","Biography, Crime, Drama",118 ,Film,R,-,Severe,Severe,Severe,Moderate,Severe
1742,Crash,2004,"427,802","Crime, Drama, Thriller",112 ,Film,R,-,Moderate,Moderate,Severe,Mild,Moderate
1390,Blood Red Sky,2021,"38,932","Action, Horror, Thriller",121 ,Film,TV-MA,-,None,Severe,Severe,Mild,Severe
5025,Before the Devil Knows You're Dead,2007,"100,668","Crime, Drama, Thriller",117 ,Film,R,-,Severe,Moderate,Severe,Severe,Severe
1579,The Great North,1976,"2,265","Animation, Comedy",21 ,Series,TV-14,18,None,Mild,Mild,Mild,None
1655,Magnolia,1999,"300,439",Drama,188 ,Film,R,-,Moderate,Moderate,Severe,Severe,Moderate
3568,Harlots,2013,"7,915",Drama,45 ,Series,TV-MA,24,Severe,No Rate,No Rate,No Rate,No Rate
2352,EastEnders,2007,"8,018","Crime, Drama, Romance",30 ,Series,TV-PG,8002,Mild,Moderate,Mild,Moderate,Severe
2212,Slumdog Millionaire,2008,"819,274","Drama, Romance",120 ,Film,R,-,Mild,Moderate,Moderate,Moderate,Moderate
6141,The Forgiven,2021,62,Drama,117 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
3178,The Doors,1991,"88,443","Biography, Drama, Music",140 ,Film,R,-,Severe,Moderate,Moderate,Severe,Moderate
3192,Gosford Park,2001,"84,085","Comedy, Drama, Mystery",131 ,Film,R,-,Mild,Mild,Moderate,Mild,Mild
1307,The Witches of Eastwick,1987,"66,202","Comedy, Fantasy, Horror",118 ,Film,R,-,Mild,Mild,Moderate,Mild,Mild
575,The Equalizer,1981,"8,839","Action, Crime, Drama",None,Series,TV-14,15,Moderate,Mild,Mild,Mild,Moderate
2360,He-Man and the Masters of the Universe,2012,932,"Animation, Action, Adventure",26 ,Series,TV-Y7,10,No Rate,No Rate,No Rate,No Rate,No Rate
1280,Tell Me Your Secrets,2021,"7,641","Crime, Drama, Mystery",None,Series,TV-14,10,Mild,No Rate,Mild,None,No Rate
5021,Chugyeokja,2008,"62,423","Action, Crime, Thriller",125 ,Film,Not Rated,-,Mild,Severe,Moderate,Mild,Severe
5110,"Sex, Lies, and Videotape",1989,"52,896",Drama,100 ,Film,R,-,Mild,None,Moderate,Mild,Mild
1993,X-Men: Days of Future Past,2014,"681,074","Action, Adventure, Sci-Fi",132 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
2639,Black Snake Moan,2006,"62,539","Drama, Music",116 ,Film,R,-,Moderate,Moderate,Severe,Moderate,Moderate
269,Knock Knock,2015,"89,175","Drama, Thriller",99 ,Film,R,-,Severe,Moderate,Severe,Mild,Moderate
629,Nomadland,2020,"129,585",Drama,107 ,Film,R,-,Mild,None,Mild,Mild,None
5903,The Polar Express,2004,"188,010","Animation, Adventure, Comedy",100 ,Film,G,-,None,None,None,None,Mild
3081,Atlantis: The Lost Empire,2001,"111,533","Animation, Action, Adventure",95 ,Film,PG,-,None,Moderate,None,Mild,Moderate
3466,Re:Zero kara hajimeru isekai seikatsu,1963,"14,766","Animation, Adventure, Drama",24 ,Series,TV-14,78,Mild,Severe,Moderate,None,Severe
5386,En kongelig affære,2012,"46,003","Biography, Drama, History",137 ,Film,R,-,Moderate,Mild,Mild,Mild,Mild
4023,The Time Machine,2002,"121,826","Action, Adventure, Sci-Fi",96 ,Film,PG-13,-,None,Mild,Mild,None,Mild
2046,A Classic Horror Story,2021,"13,501","Drama, Horror, Mystery",95 ,Film,TV-MA,-,Mild,Severe,Moderate,Mild,Severe
4356,Dug Days,2012,"2,275","Animation, Short, Adventure",None,Series,TV-G,5,No Rate,Mild,No Rate,No Rate,No Rate
4845,The Longest Ride,2015,"79,792","Drama, Romance, Western",123 ,Film,PG-13,-,Moderate,Mild,Mild,None,None
2113,West Side Story,1961,"102,038","Crime, Drama, Musical",153 ,Film,Approved,-,Mild,Mild,Mild,Mild,Moderate
27,Lucifer,2006,"288,801","Crime, Drama, Fantasy",42 ,Series,TV-14,93,Mild,Mild,Mild,Moderate,Mild
2040,Star Trek Into Darkness,2013,"472,816","Action, Adventure, Sci-Fi",132 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
3928,The Vicar of Dibley,2003,"12,777",Comedy,60 ,Series,TV-PG,30,Mild,None,Mild,Mild,None
5582,Cat People,1982,"20,284","Fantasy, Horror, Thriller",118 ,Film,R,-,Moderate,Moderate,Mild,None,Moderate
3216,The Bank Job,2008,"177,698","Crime, Drama, Thriller",111 ,Film,R,-,Severe,Moderate,Severe,Moderate,Moderate
3814,Still Game,2009,"6,912",Comedy,30 ,Series,TV-14,63,Mild,None,Moderate,Mild,None
129,Outlander,2021,"138,887","Drama, Fantasy, Romance",64 ,Series,TV-MA,87,Severe,Severe,Moderate,Mild,Moderate
4574,13 Minutes (II),2021,No Votes,"Action, Drama, Thriller",108 ,Film,PG-13,-,No Rate,No Rate,No Rate,No Rate,No Rate
6065,Bullitt,1968,"65,768","Action, Crime, Thriller",114 ,Film,M/PG,-,Mild,Moderate,Mild,None,Moderate
13,The Sopranos,2021,"340,006","Crime, Drama",55 ,Series,TV-MA,86,Severe,Severe,Severe,Severe,Severe
5292,Kara Sevda,2014,"7,727","Drama, Romance",90 ,Series,TV-14,74,Mild,Severe,Moderate,Moderate,Moderate
1525,War Dogs,2016,"195,267","Biography, Comedy, Crime",114 ,Film,R,-,Mild,Moderate,Severe,Severe,Mild
2365,Mystic Pizza,1988,"27,882","Comedy, Drama, Romance",104 ,Film,R,-,Mild,None,Moderate,Mild,None
3052,I Am Not Okay with This,2020,"50,427","Comedy, Drama, Fantasy",30 ,Series,TV-MA,7,Mild,Moderate,Moderate,Moderate,Moderate
4005,According to Jim,2011,"35,174","Comedy, Romance",30 ,Series,TV-PG,182,Mild,Mild,Mild,Mild,None
2340,Vicky Cristina Barcelona,2008,"248,942","Comedy, Drama, Romance",96 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
374,Hush,2016,"117,663","Horror, Thriller",82 ,Film,R,-,None,Severe,Moderate,None,Severe
5962,Vice Principals,2018,"23,127",Comedy,30 ,Series,TV-MA,18,Moderate,Moderate,Severe,Moderate,Mild
5302,I Dream of Jeannie,2009,"14,582","Comedy, Family, Fantasy",30 ,Series,TV-G,139,None,None,None,None,None
939,Spider-Man 2,2004,"578,084","Action, Adventure, Sci-Fi",127 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
5912,Night Shift,1982,"15,119",Comedy,106 ,Film,R,-,Moderate,Mild,Mild,Mild,Mild
2147,Halloweentown High,2004,"6,773","Comedy, Family, Fantasy",82 ,Film,TV-G,-,None,Mild,None,None,Mild
3591,Romance,1999,"10,488","Drama, Romance",84 ,Film,Unrated,-,Severe,None,Mild,Mild,Mild
5605,The Dragon Prince,2021,"19,443","Animation, Adventure, Drama",26 ,Series,TV-Y7,27,None,Mild,None,None,Mild
6174,Double Indemnity,1944,"150,448","Crime, Drama, Film-Noir",107 ,Film,Passed,-,None,Mild,None,Mild,Mild
3623,8 Simple Rules... for Dating My Teenage Daughter,2005,"24,726","Comedy, Drama",30 ,Series,TV-PG,76,Mild,Mild,Mild,Mild,None
529,That '70s Show,1993,"160,208","Comedy, Drama, Romance",22 ,Series,TV-14,200,Moderate,Mild,Mild,Moderate,None
3714,Julie and the Phantoms,2012,"8,198","Short, Adventure, Comedy",None,Series,TV-G,9,None,None,None,None,None
1269,Life,2017,"217,612","Horror, Sci-Fi, Thriller",104 ,Film,R,-,None,Moderate,Moderate,None,Severe
4281,Books of Blood,2020,"5,615","Drama, Horror, Mystery",107 ,Film,TV-MA,-,Mild,Severe,Moderate,Mild,Moderate
1394,Dark Phoenix,2019,"170,773","Action, Adventure, Sci-Fi",113 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
4009,Society,1989,"16,926","Comedy, Horror",99 ,Film,R,-,Moderate,Severe,Moderate,Mild,Moderate
4390,Grizzly II: The Predator,2020,817,"Horror, Music, Thriller",74 ,Film,Not Rated,-,No Rate,Severe,Moderate,No Rate,No Rate
1797,Children of Men,2006,"480,503","Action, Sci-Fi, Thriller",109 ,Film,R,-,Mild,Severe,Severe,Mild,Severe
2979,Captain Phillips,2013,"438,995","Adventure, Biography, Crime",134 ,Film,PG-13,-,None,Moderate,Mild,Mild,Severe
1441,All About Eve,1950,"126,291",Drama,138 ,Film,Passed,-,None,None,None,Moderate,None
4614,Secrets of Sulphur Springs,2021,"1,637","Adventure, Drama, Family",24 ,Series,TV-PG,12,No Rate,No Rate,None,No Rate,Mild
6021,Whitstable Pearl,1967,"1,124","Crime, Drama, Mystery",None,Series,TV-14,6,No Rate,Mild,Mild,Mild,No Rate
3811,Twin Peaks: Fire Walk with Me,1992,"92,724","Drama, Horror, Mystery",134 ,Film,R,-,Severe,Severe,Moderate,Severe,Severe
1273,Cruel Summer,1999,"10,578","Drama, Mystery, Thriller",45 ,Series,TV-14,11,Mild,Mild,Mild,Mild,Mild
1712,Friday,1995,"106,057","Comedy, Drama",91 ,Film,R,-,Mild,Mild,Severe,Severe,Mild
955,John Wick: Chapter 3 - Parabellum,2019,"307,504","Action, Crime, Thriller",130 ,Film,R,-,None,Severe,Moderate,Mild,Severe
4602,Sergio,2020,"9,130","Biography, Drama, History",118 ,Film,R,-,Moderate,Moderate,Mild,Mild,Mild
4934,John Q,2002,"128,820","Crime, Drama, Thriller",116 ,Film,PG-13,-,None,Mild,Moderate,Mild,Moderate
5457,The Venture Bros.,1985,"24,671","Animation, Action, Adventure",22 ,Series,TV-MA,86,Moderate,Moderate,Moderate,Moderate,Mild
403,Army of Thieves,2021,No Votes,"Action, Comedy, Crime",127 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
2071,San Andreas,2015,"224,748","Action, Adventure, Thriller",114 ,Film,PG-13,-,None,Moderate,Mild,None,Moderate
5868,La belle et la bête,2014,"20,377","Drama, Family, Fantasy",102 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Severe
1977,Are You Afraid of the Dark?,1992,"14,165","Drama, Family, Fantasy",30 ,Series,TV-PG,91,Mild,Mild,Mild,Mild,Moderate
158,9-1-1,2022,"26,981","Action, Drama, Thriller",43 ,Series,TV-14,65,Mild,Moderate,Mild,Mild,Moderate
3888,Gokushufudo,2002,"3,076","Animation, Action, Comedy",16 ,Series,TV-14,10,None,Mild,Moderate,Mild,None
902,Fuimos canciones,2021,"1,015","Comedy, Music, Romance",110 ,Film,TV-MA,-,Moderate,No Rate,No Rate,No Rate,No Rate
352,Bosch,2021,"58,565","Crime, Drama",51 ,Series,TV-MA,68,Moderate,Moderate,Moderate,Moderate,Moderate
4130,The Last Black Man in San Francisco,2019,"16,962",Drama,121 ,Film,R,-,Mild,Mild,Severe,Mild,Mild
754,Taxi Driver,1976,"764,376","Crime, Drama",114 ,Film,R,-,Moderate,Severe,Severe,Moderate,Severe
2971,Låt den rätte komma in,2008,"210,665","Crime, Drama, Fantasy",114 ,Film,R,-,Mild,Severe,Mild,Mild,Moderate
6148,Dumb and Dumber To,2014,"133,162",Comedy,109 ,Film,PG-13,-,Moderate,Mild,Moderate,Mild,Mild
2920,Bedazzled,2000,"100,599","Comedy, Fantasy",93 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
311,The Good Girl,2002,"44,437","Drama, Romance",93 ,Film,R,-,Moderate,Moderate,Moderate,Moderate,Mild
661,The Princess Bride,1987,"409,486","Adventure, Family, Fantasy",98 ,Film,PG,-,None,Mild,Mild,None,Mild
1989,Red Dragon,2002,"262,623","Crime, Drama, Thriller",124 ,Film,R,-,Moderate,Severe,Moderate,Mild,Severe
3665,Along Came Polly,2004,"131,828","Comedy, Romance",90 ,Film,PG-13,-,Mild,None,Mild,Mild,None
306,Sherlock,1981,"853,642","Crime, Drama, Mystery",88 ,Series,TV-14,15,Mild,Moderate,Mild,Moderate,Moderate
2335,Homefront,2013,"115,503","Action, Crime, Thriller",100 ,Film,R,-,Mild,Severe,Severe,Moderate,Moderate
2356,All in the Family,2019,"15,249","Comedy, Drama",30 ,Series,TV-PG,208,Mild,None,Moderate,Mild,None
3702,"Definitely, Maybe",2008,"160,856","Comedy, Drama, Romance",112 ,Film,PG-13,-,Mild,None,Mild,Mild,None
3804,Crocodile Dundee,1986,"99,336","Action, Adventure, Comedy",97 ,Film,PG-13,-,Mild,Mild,Mild,Moderate,Mild
1927,Major Payne,1995,"34,115","Adventure, Comedy, Family",95 ,Film,PG-13,-,None,Mild,Mild,None,Mild
3427,The Other Lamb,2019,"3,991","Drama, Horror",96 ,Film,Unrated,-,Moderate,Moderate,Mild,None,Moderate
749,Chaos Walking,2021,"33,697","Action, Adventure, Fantasy",109 ,Film,PG-13,-,Mild,Moderate,Mild,None,Moderate
3638,Scooby-Doo and Guess Who?,2015,"1,094","Animation, Comedy, Family",22 ,Series,TV-PG,54,None,None,None,None,Mild
4487,Disaster Movie,2008,"89,557","Comedy, Sci-Fi",87 ,Film,PG-13,-,Moderate,Severe,Severe,Severe,Severe
1266,Casino,1995,"489,633","Crime, Drama",178 ,Film,R,-,Moderate,Severe,Severe,Moderate,Severe
4901,Seberg,2019,"7,269","Biography, Drama, Thriller",102 ,Film,R,-,Mild,Mild,Moderate,Moderate,Mild
5455,Solace,2015,"59,436","Crime, Drama, Mystery",101 ,Film,R,-,Moderate,Moderate,Mild,Mild,Moderate
3595,Burn After Reading,2008,"321,308","Comedy, Crime, Drama",96 ,Film,R,-,Mild,Moderate,Severe,Mild,Moderate
2134,In the Heart of the Sea,2015,"130,763","Action, Adventure, Biography",122 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
4109,L.A. Law,2003,"5,264",Drama,46 ,Series,TV-PG,171,Moderate,No Rate,Moderate,Moderate,No Rate
514,Charmed,2011,"78,857","Drama, Fantasy, Mystery",42 ,Series,TV-14,179,Mild,Mild,Mild,Mild,Moderate
5520,Pan,2015,"62,426","Adventure, Comedy, Family",111 ,Film,PG,-,None,Mild,Mild,None,Moderate
409,The Fifth Element,1997,"450,359","Action, Adventure, Sci-Fi",126 ,Film,PG-13,-,Moderate,Mild,Mild,Mild,Mild
4603,Patton,1970,"98,853","Biography, Drama, War",172 ,Film,PG,-,None,Moderate,Moderate,Mild,Moderate
6153,Tenki no ko,2019,"31,527","Animation, Drama, Fantasy",112 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
6108,The Creed of Violence,2008,No Votes,"Action, Crime, Drama",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
5346,The Beach Bum,2019,"20,683",Comedy,95 ,Film,R,-,Severe,Mild,Severe,Severe,Mild
207,Harry Potter and the Sorcerer's Stone,2001,"702,396","Adventure, Family, Fantasy",152 ,Film,PG,-,None,Mild,Mild,None,Mild
458,Bull,2021,"16,640","Comedy, Crime, Drama",60 ,Series,TV-14,108,Mild,Mild,Mild,Mild,Mild
2054,You're Next,2011,"94,048","Horror, Thriller",95 ,Film,R,-,Moderate,Severe,Severe,Mild,Severe
2430,The Happening,2008,"201,651","Drama, Mystery, Sci-Fi",91 ,Film,R,-,None,Moderate,Mild,None,Moderate
250,GoldenEye,1995,"247,470","Action, Adventure, Thriller",130 ,Film,PG-13,-,Moderate,Moderate,Mild,Mild,Moderate
5269,Code 404,1980,"1,717","Action, Comedy, Crime",25 ,Series,None,13,No Rate,No Rate,No Rate,No Rate,No Rate
1107,American History X,1998,"1,069,951",Drama,119 ,Film,R,-,Severe,Severe,Severe,Moderate,Severe
5006,Tate no Yuusha no Nariagari,1995,"9,023","Animation, Action, Adventure",24 ,Series,TV-14,26,Mild,Moderate,Mild,Mild,Moderate
1713,Daman akeseo guhasoseo,2020,"3,463","Action, Crime, Thriller",108 ,Film,Not Rated,-,None,Moderate,Mild,Moderate,Mild
3911,Roma città aperta,1945,"25,141","Drama, Thriller, War",103 ,Film,Not Rated,-,Mild,Moderate,None,Mild,Severe
715,Pretty Little Liars,2003,"157,955","Drama, Mystery, Romance",44 ,Series,TV-14,160,Mild,Moderate,Mild,Mild,Moderate
552,Little House on the Prairie,2019,"21,109","Drama, Family, Romance",60 ,Series,TV-PG,204,None,Mild,None,Mild,Mild
1439,Alice in Wonderland,2010,"396,924","Adventure, Family, Fantasy",108 ,Film,PG,-,None,Moderate,None,Mild,Moderate
2270,The Count of Monte Cristo,2002,"133,384","Action, Adventure, Drama",131 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
3144,Joy,2015,"132,595","Biography, Drama",124 ,Film,PG-13,-,None,None,Mild,Mild,None
5897,NOS4A2,2016,"8,417","Drama, Fantasy, Horror",60 ,Series,TV-14,20,Mild,Moderate,Mild,Moderate,Moderate
